Sample,Raw,Clean,Dup%,Bases_on_target,Bases_near_target,Effective_sequences_on_target(Mb),Effective_sequences_near_target(Mb),Effective_sequences_on_or_near_targe(Mb),Fraction_of_effective_bases_on_target,Fraction_of_effective_bases_near_target,Fraction_of_effective_bases_on_or_near_target,Average_sequencing_depth_on_target,Average_sequencing_depth_near_target,Bases_covered_on_target,Coverage_of_target_region,Bases_covered_near_target,Coverage_of_flanking_region,Fraction_of_target_covered_with_at_least_4x,Fraction_of_target_covered_with_at_least_10x,Fraction_of_target_covered_with_at_least_30x,Fraction_of_target_covered_with_at_least_100x,Fraction_of_flanking_region_covered_with_at_least_4x,Fraction_of_flanking_region_covered_with_at_least_10x,Fraction_of_flanking_region_covered_with_at_least_30x,Fraction_of_flanking_region_covered_with_at_least_100x
CRC138_N1,34.7327061,33.6731194,42.0573,"65,755,218","83,216,925",13070.6,3972.26,17042.86,67.49%,20.51%,88%,198.78,47.73,"65,676,311",99.88%,"81,261,327",97.65%,99.77%,99.57%,98.31%,75.00%,86.59%,69.37%,43.77%,11.63%
CRC138_T1,35.3811786,34.18260717,44.0991,"65,755,218","83,216,925",12764.93,3797.33,16562.26,67.31%,20.02%,87.33%,194.13,45.63,"65,669,736",99.87%,"81,086,571",97.44%,99.76%,99.57%,98.38%,74.11%,85.94%,68.35%,42.52%,10.71%
CRC139_N1,38.312472,36.63938311,46.0854,"65,755,218","83,216,925",13362.48,3757.18,17119.66,68.16%,19.16%,87.32%,203.22,45.15,"65,650,009",99.84%,"80,196,150",96.37%,99.72%,99.53%,98.36%,75.71%,82.72%,65.12%,40.89%,10.93%
CRC139_T1,34.2342237,31.2144324,43.1476,"65,755,218","83,216,925",12250,3118.44,15368.44,69.27%,17.63%,86.90%,186.3,37.47,"65,643,434",99.83%,"77,658,034",93.32%,99.69%,99.46%,97.86%,70.39%,75.41%,57.66%,34.79%,8.42%
CRC13_N1,39.6379884,38.46099448,44.9106,"65,755,218","83,216,925",14232.58,4080.48,18313.06,69.18%,19.83%,89.01%,216.45,49.03,"65,538,225",99.67%,"80,287,689",96.48%,99.54%,99.35%,98.30%,78.16%,83.80%,67.06%,43.26%,12.49%
CRC13_T1,37.2897381,36.25178847,41.7667,"65,755,218","83,216,925",14284.52,4151.58,18436.1,69.09%,20.08%,89.17%,217.24,49.89,"65,538,225",99.67%,"80,562,305",96.81%,99.54%,99.37%,98.44%,79.81%,84.80%,68.18%,44.25%,12.97%
CRC140_N1,40.1158281,37.9180434,40.6818,"65,755,218","83,216,925",15214.14,4183.35,19397.49,68.82%,18.92%,87.74%,231.38,50.27,"65,663,160",99.86%,"80,387,549",96.60%,99.75%,99.58%,98.70%,82.23%,83.30%,66.13%,43.17%,13.31%
CRC140_T1,40.702161,39.2848829,41.3711,"65,755,218","83,216,925",15235.77,4707.81,19943.58,67.14%,20.75%,87.89%,231.7,56.57,"65,663,160",99.86%,"82,026,922",98.57%,99.76%,99.61%,98.81%,83.07%,90.61%,74.78%,49.03%,15.19%
CRC141_N1,39.1169901,36.95508562,39.1262,"65,755,218","83,216,925",15363.2,4131.91,19495.11,69.14%,18.59%,87.73%,233.64,49.65,"65,531,650",99.66%,"79,430,554",95.45%,99.49%,99.30%,98.44%,81.57%,81.10%,64.36%,42.10%,13.14%
CRC141_T1,39.4246734,37.21487828,39.621,"65,755,218","83,216,925",15321.02,4126.9,19447.92,69.20%,18.64%,87.84%,233,49.59,"65,538,225",99.67%,"79,896,569",96.01%,99.49%,99.30%,98.45%,81.95%,82.02%,64.88%,42.33%,13.08%
CRC142_N1,36.9593283,35.16136491,37.6019,"65,755,218","83,216,925",14735.21,4153.53,18888.74,67.95%,19.15%,87.10%,224.09,49.91,"65,656,585",99.85%,"80,662,165",96.93%,99.75%,99.58%,98.62%,80.58%,84.36%,67.13%,43.41%,13.01%
CRC142_T1,40.8484674,39.56323691,40.0371,"65,755,218","83,216,925",15452.64,4992.89,20445.53,65.84%,21.27%,87.11%,235,60,"65,663,160",99.86%,"82,459,650",99.09%,99.77%,99.62%,98.81%,83.34%,93.44%,78.86%,51.80%,16.27%
CRC143_N1,38.4394938,35.95134645,38.046,"65,755,218","83,216,925",14789.94,3947.38,18737.32,68.50%,18.28%,86.78%,224.92,47.43,"65,505,348",99.62%,"79,014,470",94.95%,99.52%,99.36%,98.52%,81.65%,79.79%,62.97%,41.18%,12.44%
CRC143_T1,37.2850191,34.79208146,37.4247,"65,755,218","83,216,925",14540.1,3854.52,18394.62,68.61%,18.19%,86.80%,221.12,46.32,"65,518,499",99.64%,"79,147,617",95.11%,99.52%,99.35%,98.39%,80.16%,80.03%,62.94%,40.70%,12.01%
CRC145_N1,35.1030006,30.37329928,37.4541,"65,755,218","83,216,925",12967.42,3012.78,15980.2,69.84%,16.23%,86.07%,197.21,36.2,"65,505,348",99.62%,"74,395,930",89.40%,99.48%,99.27%,97.95%,73.51%,69.34%,53.14%,32.66%,8.32%
CRC145_T1,39.3557292,35.07357564,37.4543,"65,755,218","83,216,925",14899.62,3649,18548.62,69.33%,16.98%,86.31%,226.59,43.85,"65,518,499",99.64%,"77,807,824",93.50%,99.51%,99.34%,98.41%,80.38%,75.73%,58.42%,37.41%,11.14%
CRC146_N1,42.2852028,37.72908465,46.8126,"65,755,218","83,216,925",13487.44,3289.09,16776.53,69.41%,16.93%,86.34%,205.12,39.52,"65,636,858",99.82%,"77,350,131",92.95%,99.69%,99.49%,98.27%,75.75%,73.97%,56.57%,35.23%,9.44%
CRC146_T1,43.1970558,39.99042162,45.3127,"65,755,218","83,216,925",14686.76,3822.89,18509.65,68.83%,17.92%,86.75%,223.36,45.94,"65,636,858",99.82%,"78,848,036",94.75%,99.71%,99.53%,98.52%,79.08%,79.00%,61.92%,39.70%,11.76%
CRC147_N1,36.0226494,33.95301057,43.4706,"65,755,218","83,216,925",12812.21,3529.83,16342.04,67.73%,18.66%,86.39%,194.85,42.42,"65,538,225",99.67%,"79,247,477",95.23%,99.53%,99.32%,97.97%,72.65%,80.00%,62.44%,38.78%,9.95%
CRC147_T1,35.7177891,30.93742297,43.9307,"65,755,218","83,216,925",11880.15,2749.04,14629.19,69.83%,16.16%,85.99%,180.67,33.03,"65,525,074",99.65%,"72,307,186",86.89%,99.49%,99.25%,97.50%,67.60%,66.54%,50.92%,30.46%,7.23%
CRC148_N1,48.3736335,45.08011961,42.7325,"65,755,218","83,216,925",17190,4500.15,21690.15,69.17%,18.11%,87.28%,261.42,54.08,"65,663,160",99.86%,"79,405,589",95.42%,99.76%,99.61%,98.73%,82.41%,81.03%,64.32%,42.42%,14.90%
CRC148_T1,41.091543,38.28637735,42.0267,"65,755,218","83,216,925",14959.53,4002,18961.53,68.33%,18.28%,86.61%,227.5,48.09,"65,656,585",99.85%,"79,946,499",96.07%,99.75%,99.57%,98.59%,80.66%,81.97%,64.53%,41.53%,12.51%
